day,score
2017-03-14,-7618.0
2017-03-15,-12987.0
2017-03-16,15419.0
2017-03-17,-6155.0
2017-03-19,0.0
2017-03-20,9094.0
2017-03-21,-2758.0
2017-03-22,-13727.0
2017-03-23,-3116.0
2017-03-24,-21299.0
2017-03-25,0.0
2017-03-27,-24821.0
2017-03-28,-23473.0
2017-03-29,-21103.0
2017-03-30,-8816.0
2017-03-31,-18025.0
2017-04-01,-3896.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,-6771.0
2017-04-05,23059.0
2017-04-06,14656.0
2017-04-07,11321.0
2017-04-08,6775.0
2017-04-09,16615.0
2017-04-10,-5802.0
2017-04-11,-3221.0
2017-04-12,-47461.0
2017-04-13,-18500.0
2017-04-14,7242.0
2017-04-15,-4387.0
2017-04-16,-3754.0
2017-04-17,-57502.0
2017-04-18,-17082.0
2017-04-19,-12191.0
2017-04-20,-68271.0
2017-04-21,-816.0
2017-04-22,0.0
2017-04-23,2178.0
2017-04-24,-45806.0
2017-04-25,-33074.0
2017-04-26,-5465.0
2017-04-27,-27601.0
2017-04-28,5872.0
2017-05-01,0.0
2017-05-02,5907.0
2017-05-03,-64508.0
2017-05-04,4571.0
2017-05-05,-30624.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,-29770.0
2017-05-09,-9808.0
2017-05-10,-31000.0
2017-05-11,-25303.0
2017-05-12,-10546.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,12682.0
2017-05-16,-6639.0
2017-05-17,-39145.0
2017-05-18,2425.0
2017-05-19,0.0
2017-05-20,4975.0
2017-05-21,3016.0
2017-05-22,-9999.0
2017-05-23,3977.0
2017-05-24,0.0
2017-05-25,7260.0
2017-05-26,-8586.0
2017-05-27,-7792.0
2017-05-28,3105.0
2017-05-31,-35182.0
2017-06-01,-8111.0
2017-06-02,-16340.0
2017-06-03,0.0
2017-06-04,3081.0
2017-06-05,1667.0
2017-06-06,-1705.0
2017-06-07,-3375.0
2017-06-08,-25545.0
2017-06-09,-33348.0
2017-06-10,0.0
2017-06-12,-28620.0
2017-06-13,9184.0
2017-06-14,-5938.0
2017-06-15,-10217.0
2017-06-16,2588.0
2017-06-17,0.0
2017-06-18,0.0
2017-06-19,-6010.0
2017-06-20,-5276.0
2017-06-21,-11854.0
2017-06-22,8777.0
2017-06-23,-12662.0
2017-06-24,-11200.0
2017-06-25,0.0
2017-06-26,-1739.0
2017-06-27,-6648.0
2017-06-28,0.0
2017-06-29,2143.0
2017-06-30,0.0
2017-07-01,-9828.0
2017-07-02,-6732.0
2017-07-03,7534.0
2017-07-04,-36329.0
2017-07-05,-14401.0
2017-07-06,26092.0
2017-07-07,-7242.0
2017-07-08,-4552.0
2017-07-09,-12660.0
2017-07-10,-4736.0
2017-07-11,-9413.0
2017-07-12,-34189.0
2017-07-13,-17852.0
2017-07-14,-18558.0
2017-07-15,0.0
2017-07-17,-2143.0
2017-07-18,0.0
2017-07-19,-29892.0
2017-07-20,-11436.0
2017-07-21,-19498.0
2017-07-22,0.0
2017-07-23,1810.0
2017-07-24,-6523.0
2017-07-25,-12768.0
2017-07-26,-64151.0
2017-07-27,-13194.0
2017-07-28,-2440.0
2017-07-29,-4888.0
2017-07-30,4756.0
2017-07-31,-12714.0
2017-08-01,-22244.0
2017-08-02,-24870.0
2017-08-03,-19772.0
2017-08-04,-6516.0
2017-08-05,0.0
2017-08-06,0.0
2017-08-07,2421.0
2017-08-08,-10416.0
2017-08-09,-18642.0
2017-08-10,-93527.0
2017-08-11,-6796.0
2017-08-12,0.0
2017-08-13,0.0
2017-08-14,-3192.0
2017-08-15,-5382.0
2017-08-16,-16336.0
2017-08-17,-20450.0
2017-08-18,-51421.0
2017-08-19,0.0
2017-08-20,0.0
2017-08-21,-2375.0
2017-08-22,-10826.0
2017-08-23,-13716.0
2017-08-24,-30328.0
2017-08-25,0.0
2017-08-26,0.0
2017-08-28,0.0
2017-08-29,-5920.0
2017-08-30,0.0
2017-08-31,-10044.0
2017-09-01,-3063.0
2017-09-02,-4562.0
2017-09-03,-9620.0
2017-09-04,-7135.0
2017-09-05,-6386.0
2017-09-06,-91843.0
2017-09-07,8466.0
2017-09-08,-17352.0
2017-09-09,0.0
2017-09-10,0.0
2017-09-11,-2716.0
2017-09-12,7657.0
2017-09-13,7146.0
2017-09-14,-20402.0
2017-09-15,-15192.0
2017-09-16,0.0
2017-09-18,-38047.0
2017-09-19,-18196.0
2017-09-20,-39130.0
2017-09-21,-28244.0
2017-09-22,-7928.0
2017-09-23,0.0
2017-09-24,0.0
2017-09-25,0.0
2017-09-26,-2259.0
2017-09-27,2702.0
2017-09-28,3749.0
2017-09-29,-9598.0
2017-09-30,0.0
2017-10-02,0.0
2017-10-03,0.0
2017-10-07,0.0
2017-10-08,0.0
2017-10-09,0.0
2017-10-10,1318.0
2017-10-11,13738.0
2017-10-12,0.0
2017-10-13,-9558.0
2017-10-16,-2618.0
2017-10-17,10647.0
2017-10-18,1596.0
2017-10-19,2540.0
2017-10-20,-1431.0
