code,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,
1,0.07605432,0.10650892,0.09914188,0.09142456,0.09785149000000001,0.10857661000000002,0.11764109,0.11565456000000002,0.10997381000000002,0.11193017000000001,0.11361788000000002,0.11464181000000001,0.11145346000000003,0.08087599000000002,0.07246935000000002,0.08482135,0.08617015000000001,0.074237,0.053939270000000004,0.055074950000000004,0.0720747,0.0619097,0.08899471,0.09799703,0.09264831,0.12718743,0.12820263,0.11533704,0.11092739,0.11050642,0.11453334999999999,0.16023292,0.1432672,0.14328449000000001,0.12202424000000002,0.12060919,0.12322210000000001,0.08717725000000001,0.08171245000000002,0.08139445000000002,0.07802242000000002,0.08156267000000002,0.08065099000000002,0.052297470000000006,0.05228928000000001,0.05733395,0.06571308000000001,0.12226576,
2,0.10798764000000001,0.09140615,0.07473575,0.08391800000000002,0.0659264,0.06184544,0.062078310000000005,0.06054395,0.0600935,0.06000055,0.060582630000000005,0.060037429999999996,0.08212663,0.06478199,0.06514903000000001,0.07338502000000001,0.07180405000000001,0.0677848,0.06634665000000002,0.06589525000000002,0.06436490000000002,0.06510594000000001,0.06479769000000002,0.07591737000000001,0.054008490000000006,0.04513302,0.08121123,0.07224868000000001,0.07396264,0.07500648000000001,0.08642131,0.10320636000000002,0.10065836,0.10572379999999999,0.12661181,0.11355460999999999,0.11605701,0.11588156,0.08245371,0.07368078,0.07010378,0.07393994,0.0850337,0.09329066,0.09346245,0.0928536,0.13010223999999998,0.27403931000000004,
6,0.13659161,0.13660049,0.14403824,0.09199856,0.09860969,0.10853573,0.09287008,0.09373444000000002,0.08783980999999999,0.08755766,0.07693144999999998,0.07339084,0.07406944999999998,0.076735,0.049690719999999994,0.03937692,0.04305367,0.03435688,0.23877064,0.28451909,0.33663637,0.33408524999999994,0.34468936999999994,0.34425126,0.34248846,0.35763931000000004,0.35359624,0.3543612400000001,0.34141441,0.34069201000000005,0.13559965,0.10286368000000001,0.05136280000000001,0.05140055,0.04429608,0.04457543,0.051847460000000005,0.03542338,0.03175338,0.06475818,0.08828613,0.08789576,0.09642812,0.09336728,0.09275302999999999,0.09303659,0.10090334,0.45536045999999997,
8,0.13493676000000002,0.13806001,0.21526531999999998,0.20781080999999998,0.20384573,0.20165364999999996,0.19660381,0.18795673000000002,0.14491273,0.12855317999999996,0.12854788999999997,0.10736401999999999,0.1073365,0.10655441999999998,0.03415671,0.03408318,0.029146510000000004,0.019828460000000003,0.02004494,0.01940318,0.01768351,0.02071031,0.02506631,0.024648859999999998,0.027861659999999996,0.025066209999999995,0.02012068,0.02072997,0.021043919999999997,0.01791957,0.01795397,0.02337518,0.0320319,0.029010410000000004,0.025621620000000005,0.02551734,0.14701794,0.16407027,0.16577340000000002,0.16950559,0.18391435,0.2538483,0.26641726,0.25990405,0.25314613,0.26065154,0.26019962,0.26657846,
9,0.10949962,0.0974485,0.16692805,0.25714321,0.26168676999999996,0.26542813000000004,0.24462255999999993,0.24397359999999998,0.23791391999999995,0.23960111999999997,0.22290815999999997,0.18847669,0.32725477,0.32634251999999997,0.27521792999999994,0.22762002,0.23474238,0.23344400999999998,0.28768246,0.2877857099999999,0.29448225999999994,0.30000156999999994,0.3052455699999999,0.30511028999999995,0.15718565999999998,0.16244311,0.30749985999999996,0.27552849999999995,0.30710914,0.30518765999999997,0.8683975800000001,0.89420758,0.9905165800000001,1.08264262,1.0843786599999998,1.1072602599999999,1.14174706,1.1469106599999996,0.9867673,1.01099065,1.00434514,1.09624274,0.5008347400000001,0.47776650000000004,0.37604463,0.33419763,0.32697968,0.32158750999999997,
11,0.11770146000000001,0.11789986,0.15145954,0.15632854,0.14656725999999998,0.15306041999999997,0.12697917,0.12709842,0.12746694,0.12971519,0.07797047000000001,0.06866915999999999,0.06711216,0.07084181,0.04991498,0.051986229999999994,0.05479331999999999,0.05462031999999999,0.52521532,0.91909492,0.96921745,0.98005241,1.0239532100000002,1.0240718000000002,1.0363568000000003,1.0580895500000003,1.0478125400000005,1.0840577700000003,1.08588652,1.08815341,0.6204411,0.22820678000000005,0.18004358000000004,0.16697689000000002,0.12797464,0.12987789,0.12713482,0.10538954,0.09757054999999999,0.09251135,0.08814731,0.08452171,0.08387531000000001,0.10691283000000001,0.10784435,0.11480648,0.10685104999999999,0.15592017000000002,
12,0.06803842999999998,0.06752518999999998,0.10390839,0.11589232000000002,0.12742632,0.12642843,0.10267323,0.1019645,0.09902975,0.09888742,0.07857262000000001,0.07865150000000001,0.09761375000000003,0.10379423,0.07040534000000001,0.07263341,0.05962440000000001,0.057543809999999994,0.06816140999999999,0.11520165999999998,0.11599945,0.11747308999999999,0.12023757,0.14304462,0.12757312999999998,0.13205438,0.12220078999999999,0.10591711999999999,0.28578612999999997,0.30716300999999996,0.29652575999999997,0.25217064,0.29550868999999996,0.31555445,0.32149837,0.30586572,0.30002379999999995,0.30002379999999995,0.30399902999999995,0.3142233499999999,0.19287786,0.18258681000000002,0.23322318,0.24093165,0.19714656000000003,0.17956716,0.17025151,0.16588691,
14,0.26739764,0.25125347,0.27504073999999995,0.26025265999999997,0.25888960999999994,0.19103815999999996,0.16559986999999995,0.14533563,0.10418451,0.10485887999999999,0.08518912,0.08523756,0.08928696,0.08969287999999999,0.06094080999999999,0.05209129,0.03344266,0.02989646,0.09274499,0.14867354,0.17698066,0.17872849000000002,0.18942394000000004,0.18909994,0.19625514000000005,0.20404734,0.19685301000000002,0.19519156,0.19428355000000003,0.19415200000000002,0.13207435000000003,0.09221788,0.06465527,0.061986320000000004,0.04889744,0.04948793000000001,0.0487113,0.04120519,0.04156247,0.21048824000000002,0.20908024,0.20728038999999998,0.21020418999999999,0.19742514,0.19626317999999998,0.19612590000000002,0.19892669999999998,0.37887622,
16,0.16097961999999996,0.13998307,0.21254402,0.28148565,0.28736164999999997,0.28132105999999996,0.28220425,0.27549148999999995,0.25811869,0.2597137,0.23751877,0.23738782,0.23243317,0.26928752,0.90708649,0.8280050099999999,0.81815968,0.8242503099999999,0.8241855199999999,0.8289096799999999,0.8273877299999999,0.8485432399999999,0.84904297,0.87423632,0.86766992,0.83124437,0.10578981,0.08757669000000001,0.08001669000000002,0.06453765,0.06494148,0.07030233,0.14501049000000002,0.15247977000000001,0.16160692000000004,0.16305997000000005,0.16250526000000004,0.17406798000000007,0.17039294000000005,0.17183474000000004,0.20178247000000002,0.26353768000000005,0.26959180000000005,0.27350308,0.20168199000000003,0.19089616000000004,0.18055948000000005,0.15396915,
19,0.13515225,0.09466521,0.12111186,0.11822581,0.09030935999999999,0.09049528,0.08990479000000001,0.0922278,0.07972668000000001,0.08263579,0.053691760000000005,0.05481784,0.05569152,0.05575280999999999,0.02691785,0.10831945,0.12421189999999999,0.12959195,0.12987084,0.15906715,0.15983760000000002,0.18367505,0.187421,0.18600736999999995,0.18613568999999996,0.21226952999999996,0.21416953,0.14308406,0.12001716999999999,0.12691917,0.12738557,0.09495457,0.09532312,0.06853355,0.06723368,0.06826176,0.06798024000000001,0.042636400000000005,0.06195031000000001,0.06336470999999999,0.08600870999999999,0.14408575,0.15783662,0.15749355,0.15509892,0.17050976999999998,0.16803968,0.17764663,
21,0.09656409999999999,0.09000047,0.15813062,0.23344723000000003,0.24250056000000003,0.23087180000000002,0.21883087000000004,0.21870767000000002,0.31761407,0.31802383000000006,0.31192256000000007,0.2990195600000001,0.37043636,0.4204639600000001,0.37973349,0.30452965000000004,0.32324239999999993,0.32645261000000003,0.3190005,0.34382457,0.23438017,0.26948116,0.26274103,0.26011851999999996,0.19149887,0.14898689999999998,0.12086461,0.12646384,0.10343963999999999,0.09313279000000001,0.09803158,0.07457023,0.09263698000000001,0.07110079,0.07324479,0.07431351,0.06920290999999999,0.08741507000000001,0.08802911,0.11030622999999999,0.12051442999999999,0.13461208,0.13453713,0.13325097,0.11653257,0.12155772,0.12671641,0.12530449,
25,0.07538713000000001,0.07793196000000001,0.10824236000000001,0.11596716000000001,0.11957398999999999,0.11904723999999998,0.11399043999999998,0.11653899999999999,0.09531499999999998,0.08976347999999999,0.07904507999999999,0.07919232999999999,0.08344742,0.07968267000000001,0.048296469999999994,0.03665707,0.03085184,0.030856879999999996,0.03180089,0.049034720000000004,0.04142992,0.04744719,0.05052284,0.049587110000000004,0.056516659999999996,0.06376601000000001,0.06219929,0.05681149,0.05799364,0.05865199000000001,0.05735470000000001,0.038484870000000004,0.036565259999999995,0.030305260000000004,0.027421610000000006,0.030036290000000004,0.01899149,0.010053260000000001,0.009844579999999999,0.010991909999999999,0.07265904,0.68367381,0.72194406,0.7271672100000001,0.74746657,0.75158817,0.75370718,0.84730978,
26,0.055837479999999995,0.05379973,0.07661797,0.07485974,0.07932758,0.08025782000000001,0.056937110000000006,0.05813946000000001,0.06014626000000001,0.059906140000000004,0.050766460000000006,0.053307690000000005,0.15155025,0.15607680000000002,0.1472294,0.14903195,0.14151647,0.14046228,0.14484127,1.3367516400000001,1.34053116,1.34022332,1.3666934000000002,1.3760822000000001,1.2806446400000002,1.2850036100000002,1.27023002,1.31280635,1.315754,1.32738319,1.3240135899999999,0.14538367000000002,0.13512790000000002,0.14246339000000002,0.12087853999999999,0.11740685999999999,0.11430466999999998,0.10977625999999999,0.10853129999999998,0.07422716999999998,0.07813005,0.0983283,0.09922755,0.09133026999999999,0.08966748,0.09307668000000001,0.08968712999999999,0.09394857,
