code,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,
2051,-0.008964,0.0014625000000000003,0.06722266666666667,0.07928575,0.038580800000000005,0.010496833333333335,0.011325285714285717,0.0070240000000000025,-0.007558444444444441,-0.006118699999999998,-0.010526454545454544,-0.013306749999999997,-0.006692692307692304,-0.011821999999999997,-0.01080573333333333,-0.015642624999999997,-0.02092711764705882,-0.020579611111111108,-0.019653789473684208,-0.0138927,-0.013272619047619047,-0.01618890909090909,-0.017621217391304348,-0.013017166666666668,-0.015178040000000002,-0.018040615384615384,-0.01614437037037037,-0.011862821428571427,-0.014321793103448275,-0.014844466666666667,-0.01565077419354839,-0.01581215625,-0.011853272727272728,-0.012195235294117647,-0.013453285714285714,-0.011975555555555555,-0.010021594594594594,-0.01010707894736842,-0.008812410256410256,-0.0038588749999999977,-0.00428512195121951,-0.0029535238095238074,-0.003518953488372091,-0.005087159090909089,-0.0053044666666666644,-0.006277021739130433,-0.006005446808510636,-0.0030131666666666675,
2054,-0.036564,-0.09768750000000001,0.029222666666666657,0.03383574999999999,0.09102079999999999,0.05884683333333333,0.03953957142857143,0.05366150000000001,0.033052666666666675,0.025071300000000008,0.027791727272727277,0.017293250000000007,0.020484230769230775,0.01491371428571429,0.013960933333333338,0.007088625000000001,0.008378764705882353,0.00652038888888889,0.007304105263157896,0.014102300000000002,0.01718452380952381,0.010970181818181818,0.009261391304347827,0.0169745,0.01450596,0.01933630769230769,0.020840814814814812,0.016297892857142855,0.01776096551724138,0.0229222,0.02179438709677419,0.018053468750000003,0.01883763636363637,0.01533123529411765,0.01344671428571429,0.013616111111111114,0.014483810810810812,0.014606078947368423,0.015646564102564105,0.010536125000000002,0.006766097560975611,0.008567904761904763,0.00967639534883721,0.01052193181818182,0.009177755555555557,0.006372978260869566,0.006117957446808512,0.008026416666666668,
2055,-0.170464,-0.0233875,0.070556,0.06543574999999999,0.015200799999999987,0.0009634999999999899,-0.0023747142857142947,-0.0037385000000000057,-0.0067140000000000056,-0.0068487000000000044,-0.009099181818181822,-0.01139841666666667,-0.0015773076923076951,0.00342085714285714,0.035280933333333334,0.015451125,0.012025823529411764,0.01870372222222222,0.0244198947368421,0.029542299999999994,0.03436071428571428,0.02464745454545454,0.019552695652173907,0.019441166666666666,0.014509959999999997,0.009440153846153845,0.006881555555555553,0.0037693214285714266,0.0034299310344827567,0.005945533333333332,0.011704064516129032,0.006244093749999996,0.0040467272727272696,0.003695941176470585,0.0015295714285714253,0.015202222222222221,0.015732459459459457,0.012508710526315789,0.013213230769230769,0.007973625,0.004600243902439024,0.006910761904761905,0.010850813953488372,0.011865113636363637,0.007379977777777778,0.0037881956521739137,0.004977531914893618,0.004991,
2056,-0.070164,-0.0245875,0.05762266666666666,0.044435749999999996,0.032500799999999996,0.0564135,0.04138242857142856,0.022611499999999996,0.021652666666666664,0.018101299999999997,0.013182636363636362,0.01427658333333333,0.029091923076923074,0.040428,0.05090759999999999,0.038432375000000005,0.037802294117647066,0.039087055555555555,0.03929357894736842,0.0397223,0.0373654761904762,0.039406545454545465,0.04213965217391305,0.039537,0.041917960000000004,0.04108246153846154,0.03690007407407408,0.03720860714285714,0.032205793103448274,0.0317722,0.029236322580645163,0.03354721875,0.033686121212121216,0.027669470588235295,0.028972428571428573,0.039552222222222225,0.03696489189189189,0.031766605263157895,0.03269271794871795,0.026736125000000006,0.029210000000000007,0.040606,0.04347174418604651,0.04079920454545455,0.03680220000000001,0.0344403695652174,0.03145200000000001,0.03290141666666667,
2057,-0.059364,-0.0309375,0.03702266666666667,0.05861075,0.1607008,0.17139683333333333,0.19688242857142857,0.139999,0.132386,0.11103130000000001,0.08356445454545457,0.07765158333333334,0.08206115384615385,0.06699942857142858,0.05723426666666668,0.048901125000000004,0.04285523529411765,0.055475944444444446,0.04398831578947368,0.04848229999999999,0.04711309523809523,0.0404110909090909,0.037887478260869564,0.04086616666666667,0.03551796,0.03223630769230769,0.031174148148148145,0.030972892857142855,0.028260965517241377,0.028738866666666665,0.027652451612903226,0.03144096875,0.034822484848484846,0.02742241176470588,0.029266714285714285,0.033205000000000005,0.032400027027027024,0.02809028947368421,0.03189528205128205,0.029513624999999998,0.02536121951219512,0.02777266666666666,0.035404302325581394,0.03938329545454545,0.03381108888888889,0.031140369565217388,0.028296680851063825,0.029647250000000003,
2058,0.085336,-0.05813750000000001,0.046555999999999986,0.04726074999999999,0.016940799999999995,0.023513499999999993,0.028410999999999995,0.019948999999999995,0.017063777777777775,0.024241299999999997,0.03239172727272727,0.048709916666666665,0.05567653846153846,0.046870857142857145,0.040374266666666665,0.029507375000000002,0.03063758823529412,0.02874816666666667,0.026288315789473687,0.028387300000000004,0.0254702380952381,0.01905654545454546,0.01762660869565218,0.020670333333333332,0.009045959999999997,0.007228615384615383,0.005344518518518516,-0.000577107142857146,-0.0064355862068965555,-0.011417800000000004,-0.001099161290322584,-0.007496531250000002,-0.002941151515151517,-0.004668764705882355,-0.0035618571428571453,1.888888888888696e-05,0.006213540540540539,0.005540289473684209,0.007154256410256408,0.005466124999999996,0.0005953658536585329,0.004996476190476187,0.011264767441860462,0.011344659090909088,0.008797755555555552,0.004970804347826084,0.006311574468085103,0.007699333333333329,
2060,-0.054964,0.0117125,0.05692266666666667,0.05246075,0.0312808,0.0239135,0.017968142857142856,0.009236500000000002,0.0028748888888888904,0.008181300000000002,0.004873545454545457,0.0014932500000000022,0.00435346153846154,0.0012780000000000018,-0.0007790666666666649,0.004876125,0.0033728823529411765,0.0011092777777777776,0.0013251578947368421,0.008947300000000002,0.007989285714285714,0.005738363636363638,0.0036092173913043492,0.005128666666666668,0.006461960000000001,0.0014824615384615393,0.0019778518518518526,0.014737178571428571,0.007309241379310344,0.009368866666666665,0.009887935483870965,0.009156593749999997,0.014001272727272725,0.03107535294117647,0.025743857142857145,0.02420777777777778,0.024718945945945946,0.019698184210526316,0.0233414358974359,0.042523624999999995,0.03544170731707317,0.03914885714285714,0.03836244186046511,0.03609465909090909,0.03327553333333333,0.02980558695652174,0.029207319148936168,0.03133891666666667,
2061,-0.074964,-0.16338750000000002,-0.05177733333333334,-0.047989250000000004,-0.0692992,-0.07930316666666667,-0.07648900000000002,-0.07597600000000002,-0.07476955555555558,-0.0678987,-0.0489719090909091,-0.04973175000000001,-0.04239269230769231,-0.044036285714285715,-0.04621240000000001,-0.043436375,-0.03552711764705882,-0.036518499999999995,-0.03438010526315789,-0.028412699999999996,-0.025134523809523805,-0.025257090909090906,-0.02729947826086956,-0.02446716666666667,-0.026182040000000004,-0.026221384615384622,-0.023651777777777782,-0.020255678571428574,-0.02096662068965518,-0.020947800000000006,-0.020699161290322586,-0.02141215625,-0.01868357575757576,-0.018801117647058826,-0.018376142857142858,-0.017281111111111115,-0.015497270270270274,-0.015333394736842108,-0.011845743589743593,-0.008986375000000001,-0.009063170731707319,-0.009765428571428572,-0.00754918604651163,-0.007741704545454547,-0.009317800000000003,-0.012270500000000004,-0.013020340425531919,-0.010648583333333336,
